path,line,type,msg_id,symbol
package_a/__init__.py,1,convention,C0304,missing-final-newline
package_a/__main__.py,28,warning,W0301,unnecessary-semicolon
package_a/__main__.py,32,convention,C0325,superfluous-parens
package_a/__main__.py,32,convention,C0326,bad-whitespace
package_a/__main__.py,34,convention,C0325,superfluous-parens
package_a/__main__.py,38,convention,C0326,bad-whitespace
package_a/__main__.py,38,convention,C0326,bad-whitespace
package_a/__main__.py,39,convention,C0326,bad-whitespace
package_a/__main__.py,40,convention,C0326,bad-whitespace
package_a/__main__.py,1,convention,C0111,missing-docstring
package_a/__main__.py,3,warning,W0622,redefined-builtin
package_a/__main__.py,3,warning,W0401,wildcard-import
package_a/__main__.py,8,convention,C0103,invalid-name
package_a/__main__.py,10,convention,C0103,invalid-name
package_a/__main__.py,10,convention,C0103,invalid-name
package_a/__main__.py,14,warning,W0621,redefined-outer-name
package_a/__main__.py,17,warning,W0101,unreachable
package_a/__main__.py,14,warning,W0612,unused-variable
package_a/__main__.py,20,convention,C0103,invalid-name
package_a/__main__.py,20,convention,C0103,invalid-name
package_a/__main__.py,26,convention,C0121,singleton-comparison
package_a/__main__.py,29,refactor,R1705,no-else-return
package_a/__main__.py,20,refactor,R1710,inconsistent-return-statements
package_a/__main__.py,36,convention,C0111,missing-docstring
package_a/__main__.py,42,warning,W0621,redefined-outer-name
package_a/__main__.py,42,error,E0601,used-before-assignment
package_a/__main__.py,38,refactor,R1711,useless-return
package_a/__main__.py,38,warning,W0613,unused-argument
package_a/__main__.py,41,warning,W0612,unused-variable
package_a/__main__.py,44,warning,W0612,unused-variable
package_a/__main__.py,36,refactor,R0903,too-few-public-methods
package_a/__main__.py,2,warning,W0611,unused-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,3,warning,W0614,unused-wildcard-import
package_a/__main__.py,6,warning,W0611,unused-import
